# label=2016B1_v9_Data
# source=root://cms-xrd-global.cern.ch//store/data/Run2016B/JetHT/NANOAOD/ver1_HIPM_UL2016_MiniAODv2_NanoAODv9-v2/2430000/877D2E27-E1EB-6244-BBCC-1730058E95A4.root
# columns: tree	branch	type	lenVar
Events	HLT_DoubleMu8_Mass8_PFHT250	Bool_t	
Events	HLT_DoubleMu8_Mass8_PFHT300	Bool_t	
Events	HLT_DoublePhoton60	Bool_t	
Events	HLT_DoublePhoton85	Bool_t	
Events	HLT_ECALHT800	Bool_t	
Events	HLT_EcalCalibration	Bool_t	
Events	HLT_Ele105_CaloIdVT_GsfTrkIdT	Bool_t	
Events	HLT_Ele10_CaloIdM_TrackIdM_CentralPFJet30_BTagCSV_p13	Bool_t	
Events	HLT_Ele115_CaloIdVT_GsfTrkIdT	Bool_t	
Events	HLT_Ele12_CaloIdL_TrackIdL_IsoVL	Bool_t	
Events	HLT_Ele12_CaloIdL_TrackIdL_IsoVL_PFJet30	Bool_t	
Events	HLT_Ele12_CaloIdM_TrackIdM_PFJet30	Bool_t	
Events	HLT_Ele15_IsoVVVL_BTagCSV_p067_PFHT400	Bool_t	
Events	HLT_Ele15_IsoVVVL_PFHT350	Bool_t	
Events	HLT_Ele15_IsoVVVL_PFHT350_PFMET50	Bool_t	
Events	HLT_Ele15_IsoVVVL_PFHT600	Bool_t	
Events	HLT_Ele16_Ele12_Ele8_CaloIdL_TrackIdL	Bool_t	
Events	HLT_Ele17_CaloIdL_GsfTrkIdVL	Bool_t	
Events	HLT_Ele17_CaloIdL_TrackIdL_IsoVL	Bool_t	
Events	HLT_Ele17_CaloIdL_TrackIdL_IsoVL_PFJet30	Bool_t	
Events	HLT_Ele17_CaloIdM_TrackIdM_PFJet30	Bool_t	
Events	HLT_Ele17_Ele12_CaloIdL_TrackIdL_IsoVL	Bool_t	
Events	HLT_Ele17_Ele12_CaloIdL_TrackIdL_IsoVL_DZ	Bool_t	
Events	HLT_Ele22_eta2p1_WPLoose_Gsf	Bool_t	
Events	HLT_Ele22_eta2p1_WPLoose_Gsf_LooseIsoPFTau20_SingleL1	Bool_t	
Events	HLT_Ele23_CaloIdL_TrackIdL_IsoVL	Bool_t	
Events	HLT_Ele23_CaloIdL_TrackIdL_IsoVL_PFJet30	Bool_t	
Events	HLT_Ele23_CaloIdM_TrackIdM_PFJet30	Bool_t	
Events	HLT_Ele23_Ele12_CaloIdL_TrackIdL_IsoVL	Bool_t	
Events	HLT_Ele23_Ele12_CaloIdL_TrackIdL_IsoVL_DZ	Bool_t	
Events	HLT_Ele23_WPLoose_Gsf	Bool_t	
Events	HLT_Ele23_WPLoose_Gsf_WHbbBoost	Bool_t	
Events	HLT_Ele24_eta2p1_WPLoose_Gsf	Bool_t	
Events	HLT_Ele24_eta2p1_WPLoose_Gsf_LooseIsoPFTau20	Bool_t	
Events	HLT_Ele24_eta2p1_WPLoose_Gsf_LooseIsoPFTau20_SingleL1	Bool_t	
Events	HLT_Ele25_WPTight_Gsf	Bool_t	
Events	HLT_Ele25_eta2p1_WPLoose_Gsf	Bool_t	
Events	HLT_Ele25_eta2p1_WPTight_Gsf	Bool_t	
Events	HLT_Ele27_HighEta_Ele20_Mass55	Bool_t	
Events	HLT_Ele27_WPLoose_Gsf	Bool_t	
Events	HLT_Ele27_WPLoose_Gsf_WHbbBoost	Bool_t	
Events	HLT_Ele27_WPTight_Gsf	Bool_t	
Events	HLT_Ele27_eta2p1_WPLoose_Gsf	Bool_t	
Events	HLT_Ele27_eta2p1_WPLoose_Gsf_DoubleMediumIsoPFTau32_Trk1_eta2p1_Reg	Bool_t	
Events	HLT_Ele27_eta2p1_WPLoose_Gsf_DoubleMediumIsoPFTau35_Trk1_eta2p1_Reg	Bool_t	
Events	HLT_Ele27_eta2p1_WPLoose_Gsf_DoubleMediumIsoPFTau40_Trk1_eta2p1_Reg	Bool_t	
Events	HLT_Ele27_eta2p1_WPLoose_Gsf_HT200	Bool_t	
Events	HLT_Ele27_eta2p1_WPLoose_Gsf_LooseIsoPFTau20_SingleL1	Bool_t	
Events	HLT_Ele27_eta2p1_WPTight_Gsf	Bool_t	
Events	HLT_Ele30WP60_Ele8_Mass55	Bool_t	
Events	HLT_Ele30WP60_SC4_Mass55	Bool_t	
Events	HLT_Ele32_eta2p1_WPLoose_Gsf_LooseIsoPFTau20_SingleL1	Bool_t	
Events	HLT_Ele32_eta2p1_WPTight_Gsf	Bool_t	
Events	HLT_Ele35_CaloIdVT_GsfTrkIdT_PFJet150_PFJet50	Bool_t	
Events	HLT_Ele35_WPLoose_Gsf	Bool_t	
Events	HLT_Ele45_CaloIdVT_GsfTrkIdT_PFJet200_PFJet50	Bool_t	
Events	HLT_Ele45_WPLoose_Gsf	Bool_t	
Events	HLT_Ele50_CaloIdVT_GsfTrkIdT_PFJet140	Bool_t	
Events	HLT_Ele50_CaloIdVT_GsfTrkIdT_PFJet165	Bool_t	
Events	HLT_Ele8_CaloIdL_TrackIdL_IsoVL_PFJet30	Bool_t	
Events	HLT_Ele8_CaloIdM_TrackIdM_PFJet30	Bool_t	
Events	HLT_FullTracks_Multiplicity100	Bool_t	
